id_empresa,cnae_descricao,cnae_4dig,situacao_desc,classe_risco,sancionada,municipio,porte_desc,opcao_simples,opcao_mei,score_risco,score_risco_v2,if_score,if_anomalia,if_score_norm,if_score_risco,dbscan_cluster,dbscan_outlier,pca_1,pca_2,score_manual_norm,score_final,ranking,classe_final
EMP_RJ_00454,Comércio varejista de combustíveis (postos),4731,Inapta,Alto,0,6001,,,,4,8,0.12632582101468942,0,0.892759089231436,0.10724091076856401,4,0,-0.551156068335054,1.603640594053645,0.6666666666666666,0.253620455384282,637,Baixo
EMP_RJ_00455,Extração de petróleo e gás natural,0600,Ativa,Médio,0,5899,,,,0,4,0.03013235991826685,0,0.633539052144061,0.36646094785593897,5,0,-1.9944372738607918,-3.0987476204135898,0.3333333333333333,0.28323047392796946,482,Baixo
EMP_RJ_00456,Transporte dutoviário de combustíveis,5221,Ativa,Médio,0,5897,,,,0,4,0.06533038749749454,0,0.7283899277700464,0.2716100722299536,5,0,-1.6276372588451906,-2.5266910217811573,0.3333333333333333,0.23580503611497677,724,Baixo
EMP_RJ_00457,Extração de petróleo e gás natural,0600,Ativa,Médio,0,5897,,,,0,4,0.06537031191441461,0,0.7284975152163942,0.27150248478360584,5,0,-1.587345015457922,-2.5979279458051208,0.3333333333333333,0.2357512423918029,727,Baixo
EMP_RJ_00458,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5883,,,,0,2,0.16374027878933411,0,0.9935827525179223,0.006417247482077726,2,0,-1.2622322722757473,-0.3980559111180428,0.16666666666666666,0.05320862374103886,1507,Baixo
EMP_RJ_00459,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,6001,,,,0,3,0.11574372649150022,0,0.8642426921344069,0.13575730786559315,0,0,1.6357356824660503,1.2340490158453665,0.25,0.14287865393279658,1011,Baixo
EMP_RJ_00460,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,6001,,,,0,2,0.15584249321310611,0,0.9722999725176703,0.027700027482329692,0,0,0.14460131988789499,0.750527091495282,0.16666666666666666,0.06385001374116483,1428,Baixo
EMP_RJ_00461,Transporte dutoviário de combustíveis,5221,Ativa,Baixo,0,5923,,,,0,2,0.14628182632773384,0,0.9465360963003251,0.05346390369967491,2,0,-1.4966227581347677,-0.27670409486602204,0.16666666666666666,0.07673195184983744,1334,Baixo
EMP_RJ_00462,Comércio atacadista de combustíveis,4681,Ativa,Baixo,0,6001,,,,0,2,0.08173020896127292,0,0.7725838083063302,0.22741619169366978,-1,1,-0.014545184364292044,-0.2262824536595267,0.16666666666666666,0.3637080958468349,338,Médio
EMP_RJ_00463,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,5853,,S,N,0,4,0.11588550746186915,0,0.8646247603953718,0.13537523960462816,7,0,-1.688970765982443,-1.3696772727147224,0.3333333333333333,0.16768761980231406,910,Baixo
EMP_RJ_00464,Comércio varejista de combustíveis (postos),4731,Inapta,Crítico,0,6001,,,,4,10,0.07547802734449643,0,0.7557355658987381,0.24426443410126186,1,0,-1.2855271793300576,0.3524782535624938,0.8333333333333334,0.37213221705063093,315,Médio
EMP_RJ_00465,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5865,,,,0,2,0.16528347497408552,0,0.9977413238769814,0.002258676123018555,2,0,-0.9175438036655992,-0.026829518300459012,0.16666666666666666,0.05112933806150927,1518,Baixo
EMP_RJ_00466,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5819,,,,0,2,0.15039184522450538,0,0.9576116854173753,0.04238831458262471,2,0,-0.8976571118974415,0.06681307282433402,0.16666666666666666,0.07119415729131234,1377,Baixo
EMP_RJ_00467,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,774,,,,0,2,0.1425499018806582,0,0.9364793878447625,0.06352061215523752,2,0,-1.5658491725660195,-0.5813886970407813,0.16666666666666666,0.08176030607761875,1310,Baixo
EMP_RJ_00468,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,5867,,,,0,3,0.10777539732031155,0,0.8427698127958677,0.1572301872041323,2,0,0.3329120312448438,0.07180172287724497,0.25,0.15361509360206616,977,Baixo
EMP_RJ_00469,Comércio varejista de combustíveis (postos),4731,Inapta,Alto,0,5825,,,,4,8,0.11386130529763666,0,0.8591699846330284,0.1408300153669716,3,0,-2.436357261610089,0.26404614641537977,0.6666666666666666,0.2704150076834858,556,Baixo
EMP_RJ_00470,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,5897,,,,0,3,0.11601841971498833,0,0.8649829294308782,0.13501707056912182,2,0,0.38978089343617567,0.19653582016738502,0.25,0.14250853528456092,1015,Baixo
EMP_RJ_00471,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5879,,,,0,2,0.13164152717465277,0,0.9070837380404654,0.09291626195953462,2,0,-1.7451373354380555,-0.5311281532701286,0.16666666666666666,0.0964581309797673,1218,Baixo
EMP_RJ_00472,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5819,,N,N,0,2,0.14985439757424684,0,0.9561633832329588,0.0438366167670412,2,0,-0.8271478135056977,0.07250595613515767,0.16666666666666666,0.07191830838352059,1367,Baixo
EMP_RJ_00473,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,5809,,,,0,4,0.08630504558259072,0,0.7849119780709879,0.2150880219290121,7,0,-1.9555522807434387,-1.5826747109645152,0.3333333333333333,0.20754401096450603,786,Baixo
EMP_RJ_00474,Comércio varejista de combustíveis (postos),4731,Inapta,Alto,0,6001,,,,4,8,0.13089164972853923,0,0.9050629846838761,0.09493701531612386,4,0,-0.6071463009338003,1.5722779091718126,0.6666666666666666,0.24746850765806191,662,Baixo
EMP_RJ_00475,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5865,,,,0,2,0.16366255678925062,0,0.9933733089703619,0.006626691029638088,2,0,-0.8451866053474734,-0.02440372992578495,0.16666666666666666,0.05331334551481904,1506,Baixo
EMP_RJ_00476,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5825,,N,N,0,2,0.14621558360900638,0,0.9463575868693349,0.05364241313066509,2,0,-1.4044089814168852,-0.28520876906736276,0.16666666666666666,0.07682120656533253,1333,Baixo
EMP_RJ_00477,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5897,,,,0,2,0.16213285381406417,0,0.989251098817605,0.010748901182395021,2,0,-1.1660134286424446,-0.30302064962122777,0.16666666666666666,0.055374450591197506,1487,Baixo
EMP_RJ_00478,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,5877,,,,0,3,0.1419416367916818,0,0.9348402483738855,0.06515975162611454,2,0,-0.687128036669595,0.012910903968716905,0.25,0.10757987581305727,1149,Baixo
EMP_RJ_00479,Comércio varejista de combustíveis (postos),4731,Inapta,Alto,0,5837,,,,4,9,0.09145626579855182,0,0.7987933737522201,0.20120662624777985,3,0,-1.6927123255538796,0.5372091574099902,0.75,0.3256033131238899,396,Médio
EMP_RJ_00480,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,5919,,,,0,4,0.09508500734345426,0,0.8085720271776046,0.19142797282239543,7,0,-2.00738155128553,-1.5627366693685898,0.3333333333333333,0.1957139864111977,811,Baixo
EMP_RJ_00481,Comércio varejista de combustíveis (postos),4731,Inapta,Alto,0,5803,,,,4,8,0.10507913466223007,0,0.8355039830995582,0.1644960169004418,3,0,-2.479097611237899,0.2856074456168229,0.6666666666666666,0.2822480084502209,490,Baixo
