id_empresa,situacao_desc,cnae_descricao,score_final,classe_final,ranking,if_anomalia,dbscan_outlier,score_manual_norm,padrao,anos_operacao,qtd_socios,qtd_filiais,sem_socios,max_empresas_por_socio,taxa_inapta_municipio
EMP_RJ_01458,Ativa,Comércio varejista de combustíveis (postos),0.5175376310190756,Alto,139,1,1,0.08333333333333333,Outros,0.8,3,0,0,4.0,0.21731448763250882
EMP_RJ_01435,Ativa,Comércio atacadista de combustíveis,0.515214516125056,Alto,140,1,1,0.16666666666666666,P5: Ativa suspeita,1.3,0,0,1,1.0,0.21731448763250882
EMP_RJ_01293,Ativa,Comércio varejista de combustíveis (postos),0.5151170351146966,Alto,141,1,1,0.16666666666666666,Outros,49.2,3,0,0,6.0,0.21731448763250882
EMP_RJ_01437,Ativa,Extração de petróleo e gás natural,0.5138676915348394,Alto,142,1,1,0.16666666666666666,Outros,1.3,2,0,0,1.0,0.21731448763250882
EMP_RJ_01377,Ativa,Comércio varejista de combustíveis (postos),0.5109302237691999,Alto,143,1,1,0.08333333333333333,Outros,2.4,2,0,0,3.0,0.25
EMP_RJ_01477,Ativa,Comércio varejista de combustíveis (postos),0.5096485038649263,Alto,144,1,1,0.25,Outros,0.4,1,0,0,2.0,0.21731448763250882
EMP_RJ_00092,Inapta,Comércio varejista de combustíveis (postos),0.5091558378839512,Alto,145,1,0,0.8333333333333334,P2: Empresa fantasma,25.5,0,2,1,1.0,0.16666666666666666
EMP_RJ_01333,Ativa,Comércio varejista de combustíveis (postos),0.5089342543113384,Alto,146,1,1,0.08333333333333333,Outros,3.3,5,0,0,3.0,0.21731448763250882
EMP_RJ_01495,Ativa,Extração de petróleo e gás natural,0.5081407246858417,Alto,147,0,1,0.4166666666666667,Outros,0.1,3,0,0,1.0,0.21731448763250882
EMP_RJ_00409,Ativa,Comércio varejista de combustíveis (postos),0.5071731612525532,Alto,148,0,1,0.5,P3: Laranja societário,18.8,3,0,0,22.0,0.21731448763250882
EMP_RJ_00570,Inapta,Comércio varejista de combustíveis (postos),0.5028008315738457,Alto,149,0,1,0.6666666666666666,P4: Abandono fiscal,15.4,2,0,0,1.0,0.35
EMP_RJ_01402,Ativa,Comércio atacadista de combustíveis,0.5005413210953636,Alto,150,1,1,0.0,Outros,1.6,2,1,0,1.0,0.21731448763250882
